,ABRUZZO,BASILICATA,CALABRIA,CAMPANIA,EMILIA ROMAGNA,FRIULI-VENEZIA GIULIA,LAZIO,LIGURIA,LOMBARDIA,MARCHE,MOLISE,PIEMONTE,PUGLIA,SARDEGNA,TOSCANA,UMBRIA,VENETO,Totale complessivo
Dicembre_2014,"1.775,00","6.856,50","14.985,00","1.098.168,93","60.633,50","39.567,50","2.984.042,00","5.797,10","280.863,60","55.837,00","561,00","564.124,10","21.136,75","15.751,00","1.295.661,25","15.148,32","130.444,99","6.591.353,54"
Totale_regione_2014,"61.642,00","135.802,50","477.460,00","31.364.258,37","1.576.305,50","786.722,00","58.153.039,00","142.429,40","5.003.515,20","901.488,50","26.039,00","6.709.213,90","825.313,00","1.149.698,50","25.231.128,00","419.804,95","2.546.841,92","135.510.701,74"
Gennaio_2015,"2.530,00","4.718,75","7.606,00","911.094,87","69.711,00","27.222,00","2.603.456,00","8.409,40","303.854,75","44.376,00","363,00","459.728,50","12.992,50","14.653,50","1.194.521,50","13.614,13","108.576,98","5.787.428,88"
Febbraio_2015,"1.935,00","2.480,50","5.005,00","874.889,31","42.667,00","24.038,00","3.056.705,50","6.746,70","292.281,00","20.076,00","284,00","168.554,00","16.191,00","9.461,00","1.285.208,25","11.109,54","137.212,59","5.954.844,39"
Marzo_2015,"2.867,00","5.882,50","10.446,00","1.500.023,14","98.962,00","45.483,00","4.291.686,50","7.969,45","374.143,25","36.677,50","648,00","297.427,72","35.813,75","24.010,50","1.892.024,25","21.243,62","207.733,18","8.853.041,36"
Aprile_2015,"8.152,00","21.927,25","24.580,00","3.304.760,84","220.009,00","111.190,50","6.005.377,50","18.030,80","568.712,75","103.635,00","2.906,00","1.410.419,20","133.851,25","104.466,00","2.854.086,75","50.362,81","291.306,77","15.233.774,42"
Maggio_2015,"7.119,00","19.239,25","34.670,00","4.451.832,90","250.060,00","140.297,50","7.144.579,50","21.049,25","650.375,25","122.380,00","3.336,00","1.791.847,68","166.258,25","149.895,00","3.407.137,75","54.543,29","325.144,01","18.739.764,63"
Giugno_2015,"5.499,00","17.805,00","36.363,00","4.261.178,15","162.250,50","105.871,50","6.398.729,50","14.174,20","565.229,25","92.524,00","2.960,00","1.289.470,32","125.626,00","158.456,50","3.160.329,25","41.481,86","245.771,83","16.683.719,87"
Luglio_2015,"6.194,00","13.678,00","40.822,00","4.217.648,70","130.597,50","121.349,50","6.560.155,50","19.099,55","570.635,00","90.646,00","2.968,00","626.027,30","100.886,25","173.583,00","3.243.694,00","50.637,33","205.138,58","16.173.760,20"
Agosto_2015,"17.648,00","37.657,25","137.620,00","4.641.403,98","248.421,50","204.118,50","6.716.866,50","29.330,80","709.100,25","196.838,50","8.761,00","1.086.283,90","219.750,75","280.987,00","3.218.430,00","85.072,24","231.255,32","18.069.545,49"
Settembre_2015,"8.063,00","23.182,50","58.297,00","4.654.642,03","212.147,00","157.981,00","6.911.955,50","22.739,55","697.458,75","118.777,50","2.516,00","826.161,75","178.861,25","208.531,50","3.527.119,00","55.026,10","295.512,74","17.958.972,17"
Ottobre_2015,"4.592,00","22.936,50","30.526,00","3.837.340,45","164.244,00","103.681,50","6.359.418,00","16.519,65","562.557,25","60.978,50","1.587,00","1.106.331,84","120.661,75","74.640,00","3.108.508,50","41.558,54","283.649,31","15.899.730,79"
Novembre_2015,"2.253,00","8.395,00","9.047,00","1.442.489,07","78.127,50","43.145,00","3.712.423,00","8.491,35","344.446,00","34.784,00","992,00","905.907,92","35.927,25","17.758,50","1.583.448,75","16.824,26","140.445,43","8.384.905,03"
Dicembre_2015,"3.680,00","8.437,00","13.871,00","1.387.761,79","83.599,50","66.855,50","3.150.011,50","10.114,20","347.943,00","64.465,50","1.143,00","963.820,16","43.347,25","17.017,50","1.427.618,25","25.530,95","139.711,57","7.754.927,67"
Totale_regione_2015,"70.532,00","186.339,50","408.853,00","35.485.065,23","1.760.796,50","1.151.233,50","62.911.364,50","182.674,90","5.986.736,50","986.158,50","28.464,00","10.931.980,29","1.190.167,25","1.233.460,00","29.902.126,25","467.004,66","2.611.458,31","155.494.414,89"
Gennaio_2016,"7.418,00","4.992,25","10.330,00","1.016.129,22","73.869,50","53.390,00","2.840.082,00","12.189,15","347.377,75","32.342,00","635,00","954.338,56","30.015,00","16.000,00","1.205.471,75","19.692,77","134.518,28","6.758.791,23"
Febbraio_2016,"5.086,00","4.255,25","7.969,00","1.047.279,58","62.126,50","30.469,00","3.525.052,50","9.273,40","360.112,70","29.741,00","541,00","557.945,87","27.740,75","13.008,00","1.321.683,75","15.683,25","161.412,58","7.179.380,13"
Marzo_2016,"16.914,00","14.239,25","16.699,00","2.120.632,08","191.569,00","85.892,50","5.052.287,00","24.517,80","595.129,00","87.596,50","2.258,50","1.057.072,96","76.325,25","50.930,00","2.232.705,00","41.802,73","245.449,90","11.912.020,47"
Aprile_2016,"11.227,00","19.282,50","25.097,00","3.578.903,86","264.617,50","131.672,50","6.083.807,50","41.318,90","642.323,75","111.428,50","2.817,50","1.689.316,08","127.769,25","101.943,00","2.766.178,25","56.862,26","342.703,89","15.997.269,24"
Maggio_2016,"9.373,00","19.482,50","74.031,00","4.741.438,37","242.348,50","137.549,00","7.275.517,50","53.195,90","724.031,25","107.037,00","2.084,50","1.281.084,14","167.240,50","144.948,50","3.346.331,00","60.658,15","373.484,11","18.759.834,92"
Giugno_2016,"10.928,00","21.239,50","87.507,50","4.648.024,24","212.119,25","140.323,00","6.828.566,00","43.770,00","695.416,50","135.680,00","2.773,00","1.036.926,29","138.173,50","178.427,00","3.231.599,00","61.479,96","284.636,71","17.757.589,45"
Luglio_2016,"15.425,00","14.666,75","103.128,50","4.594.758,76","175.818,25","150.654,50","7.054.527,50","50.279,70","780.377,75","160.662,50","3.332,00","930.806,18","118.715,50","218.431,50","3.278.693,00","65.214,95","231.601,50","17.947.093,84"
Agosto_2016,"36.376,00","37.548,00","260.425,00","5.157.113,08","284.847,25","252.184,00","6.927.446,00","65.962,65","914.826,50","297.062,00","20.075,50","1.344.837,64","247.851,00","322.372,00","3.380.992,00","109.855,46","289.484,24","19.949.258,32"
Settembre_2016,"14.948,00","23.979,00","118.482,00","5.164.562,19","239.495,75","196.314,50","7.049.216,50","30.293,95","879.410,75","165.883,50","5.292,00","1.063.060,16","211.690,50","219.487,50","3.598.534,50","56.344,06","374.808,31","19.411.803,17"
Ottobre_2016,"7.280,00","26.975,50","69.606,50","4.561.051,93","238.788,25","154.288,00","6.934.348,00","28.021,70","831.525,50","106.314,50","4.185,00","1.444.040,44","161.513,00","106.082,50","3.258.286,75","47.063,94","381.478,38","18.360.849,89"
Novembre_2016,"3.281,00","6.355,75","25.667,00","1.662.115,78","110.889,25","48.338,00","4.090.762,50","14.628,10","592.888,75","43.271,00","1.618,00","900.812,80","43.550,50","22.112,50","1.772.844,00","12.609,06","191.348,58","9.543.092,57"
Dicembre_2016,"6.732,00","8.051,75","27.951,00","1.873.574,43","122.797,25","74.964,00","3.954.685,00","17.052,30","629.739,15","79.025,00","3.081,50","1.107.141,32","45.930,00","19.000,00","1.692.218,75","19.898,60","181.918,48","9.863.760,53"
